"","cgm","insulin","time_of_day_label","qsa_estimate","is_optimal"
"1",39,0.166666666666667,"time_of_day_1",0.78684459367916,FALSE
"2",50.4489795918367,0.166666666666667,"time_of_day_1",0.845922724367453,FALSE
"3",61.8979591836735,0.166666666666667,"time_of_day_1",0.898519660854229,FALSE
"4",73.3469387755102,0.166666666666667,"time_of_day_1",0.944177954967806,FALSE
"5",84.7959183673469,0.166666666666667,"time_of_day_1",0.98286744340334,FALSE
"6",96.2448979591837,0.166666666666667,"time_of_day_1",1.01493303895531,FALSE
"7",107.69387755102,0.166666666666667,"time_of_day_1",1.04101717427816,FALSE
"8",119.142857142857,0.166666666666667,"time_of_day_1",1.06197005097901,FALSE
"9",130.591836734694,0.166666666666667,"time_of_day_1",1.07875952031153,FALSE
"10",142.040816326531,0.166666666666667,"time_of_day_1",1.09238950202457,FALSE
"11",153.489795918367,0.166666666666667,"time_of_day_1",1.10383234023852,FALSE
"12",164.938775510204,0.166666666666667,"time_of_day_1",1.11397725169584,FALSE
"13",176.387755102041,0.166666666666667,"time_of_day_1",1.12359456566046,FALSE
"14",187.836734693878,0.166666666666667,"time_of_day_1",1.1333139527248,FALSE
"15",199.285714285714,0.166666666666667,"time_of_day_1",1.14361418486026,FALSE
"16",210.734693877551,0.166666666666667,"time_of_day_1",1.15482191122924,FALSE
"17",222.183673469388,0.166666666666667,"time_of_day_1",1.16711720166983,FALSE
"18",233.632653061224,0.166666666666667,"time_of_day_1",1.1805439887479,FALSE
"19",245.081632653061,0.166666666666667,"time_of_day_1",1.19502390745676,FALSE
"20",256.530612244898,0.166666666666667,"time_of_day_1",1.21037235181887,FALSE
"21",267.979591836735,0.166666666666667,"time_of_day_1",1.22631585559638,FALSE
"22",279.428571428571,0.166666666666667,"time_of_day_1",1.24251018504248,FALSE
"23",290.877551020408,0.166666666666667,"time_of_day_1",1.25855880092071,FALSE
"24",302.326530612245,0.166666666666667,"time_of_day_1",1.27403155616562,FALSE
"25",313.775510204082,0.166666666666667,"time_of_day_1",1.2884835696118,FALSE
"26",325.224489795918,0.166666666666667,"time_of_day_1",1.30147409986494,FALSE
"27",336.673469387755,0.166666666666667,"time_of_day_1",1.31258494972094,FALSE
"28",348.122448979592,0.166666666666667,"time_of_day_1",1.32143756143224,FALSE
"29",359.571428571429,0.166666666666667,"time_of_day_1",1.32770767506351,FALSE
"30",371.020408163265,0.166666666666667,"time_of_day_1",1.33113636083191,FALSE
"31",382.469387755102,0.166666666666667,"time_of_day_1",1.33153645643772,FALSE
"32",393.918367346939,0.166666666666667,"time_of_day_1",1.32879387167946,FALSE
"33",405.367346938775,0.166666666666667,"time_of_day_1",1.32286370199389,FALSE
"34",416.816326530612,0.166666666666667,"time_of_day_1",1.31376145152778,FALSE
"35",428.265306122449,0.166666666666667,"time_of_day_1",1.30154982751493,FALSE
"36",439.714285714286,0.166666666666667,"time_of_day_1",1.28632159468437,FALSE
"37",451.163265306122,0.166666666666667,"time_of_day_1",1.26817904818197,FALSE
"38",462.612244897959,0.166666666666667,"time_of_day_1",1.2472109728813,FALSE
"39",474.061224489796,0.166666666666667,"time_of_day_1",1.22346861053224,FALSE
"40",485.510204081633,0.166666666666667,"time_of_day_1",1.19694309142955,FALSE
"41",496.959183673469,0.166666666666667,"time_of_day_1",1.16754777065765,FALSE
"42",508.408163265306,0.166666666666667,"time_of_day_1",1.13510959925201,FALSE
"43",519.857142857143,0.166666666666667,"time_of_day_1",1.0993737074024,FALSE
"44",531.30612244898,0.166666666666667,"time_of_day_1",1.06002451724418,FALSE
"45",542.755102040816,0.166666666666667,"time_of_day_1",1.01672483479972,FALSE
"46",554.204081632653,0.166666666666667,"time_of_day_1",0.969171600324314,FALSE
"47",565.65306122449,0.166666666666667,"time_of_day_1",0.917163642616054,FALSE
"48",577.102040816327,0.166666666666667,"time_of_day_1",0.860673452293002,FALSE
"49",588.551020408163,0.166666666666667,"time_of_day_1",0.799912397898005,FALSE
"50",600,0.166666666666667,"time_of_day_1",0.735377730182281,FALSE
"51",39,0.3446,"time_of_day_1",0.871825828022923,FALSE
"52",50.4489795918367,0.3446,"time_of_day_1",0.937536066008251,FALSE
"53",61.8979591836735,0.3446,"time_of_day_1",0.996123535108689,FALSE
"54",73.3469387755102,0.3446,"time_of_day_1",1.04707530975272,FALSE
"55",84.7959183673469,0.3446,"time_of_day_1",1.0903463752812,FALSE
"56",96.2448979591837,0.3446,"time_of_day_1",1.126301237509,FALSE
"57",107.69387755102,0.3446,"time_of_day_1",1.15562773472804,FALSE
"58",119.142857142857,0.3446,"time_of_day_1",1.17923772493402,FALSE
"59",130.591836734694,0.3446,"time_of_day_1",1.1981678485046,FALSE
"60",142.040816326531,0.3446,"time_of_day_1",1.21349030606252,FALSE
"61",153.489795918367,0.3446,"time_of_day_1",1.2262396538306,FALSE
"62",164.938775510204,0.3446,"time_of_day_1",1.23735795419681,FALSE
"63",176.387755102041,0.3446,"time_of_day_1",1.24765782108676,FALSE
"64",187.836734693878,0.3446,"time_of_day_1",1.2578011710046,FALSE
"65",199.285714285714,0.3446,"time_of_day_1",1.26829072931896,FALSE
"66",210.734693877551,0.3446,"time_of_day_1",1.27947127889194,FALSE
"67",222.183673469388,0.3446,"time_of_day_1",1.29153796937353,FALSE
"68",233.632653061224,0.3446,"time_of_day_1",1.30454947848372,FALSE
"69",245.081632653061,0.3446,"time_of_day_1",1.3184442750243,FALSE
"70",256.530612244898,0.3446,"time_of_day_1",1.33305861874706,FALSE
