"","time","BG","CGM","CHO","HBGI","LBGI","insulin"
"1",1,138.56,133.589561612242,0,1.5109019799035,0,0.00265
"2",2,138.560000013365,130.100150964254,0,1.51090198130598,0,0.00265
"3",3,138.560000934267,129.407185533909,0,1.51090207794467,0,0.00265
"4",4,138.560010795676,130.033697235815,0,1.51090311279279,0,0.00265
"5",5,138.56005775163,131.534508546103,0,1.51090804031579,0,0.00265
"6",6,138.560203057747,133.464470767235,0,1.51092328867219,0,0.00265
"7",7,138.560549857605,135.378474338923,0,1.51095968193568,0,0.00265
"8",8,138.561247267344,136.831454492776,0,1.51103286934336,0,0.00265
"9",9,138.562490547975,137.378392693664,0,1.51116334490309,0,0.00265
"10",10,138.564518442083,136.633428442639,0,1.51137617100954,0,0.00265
"11",11,138.567608673132,134.565423166125,0,1.5117005115844,0,0.00265
"12",12,138.57207241097,131.675295685295,0,1.51216905983326,0,0.00265
"13",13,138.578248299303,128.582221426804,0,1.51281742380826,0,0.00265
"14",14,138.586496459758,125.905399293634,0,1.51368351378089,0,0.00265
"15",15,138.597192743679,124.214260032259,0,1.51480696016505,0,0.00265
"16",16,138.610723395999,123.77953179179,0,1.51622857928639,0,0.00265
"17",17,138.627480219357,124.423877741346,0,1.51798989608467,0,0.00265
"18",18,138.647856274582,125.870392136678,0,1.52013272716554,0,0.00265
"19",19,138.672242119274,127.842167964034,0,1.52269882385131,0,0.00265
"20",20,138.701022564783,130.069274543838,0,1.52572957249207,0,0.00265
"21",21,138.734573919177,132.323659706447,0,1.5292657478829,0,0.00265
"22",22,138.773261677273,134.440090390758,0,1.53334731488626,0,0.00265
"23",23,138.817438616135,136.267283475153,0,1.53801327306285,0,0.00265
"24",24,138.867443254393,137.653942079678,0,1.54330153911382,0,0.00265
"25",25,138.923598635208,138.476131517282,0,1.54924886212288,0,0.00265
"26",26,138.986211395045,138.77416464202,0,1.5558907668859,0,0.00265
"27",27,139.055571083281,138.83473291032,0,1.56326152097686,0,0.00265
"28",28,139.131949700585,138.999264925016,0,1.57139412158835,0,0.00265
"29",29,139.215601427079,139.609171552001,0,1.58032029858216,0,0.00265
"30",30,139.306762514079,140.962552766368,0,1.59007053057362,0,0.00265
"31",31,139.405651315993,143.09773267822,0,1.60067407124715,0,0.00265
"32",32,139.512468441419,145.663380668676,0,1.61215898345052,0,0.00265
"33",33,139.627397004828,148.221562553033,0,1.62455217894249,0,0.00265
"34",34,139.750602962312,150.334326873194,0,1.63787946196838,0,0.00265
"35",35,139.882235516773,151.605350735549,0,1.65216557511312,0,0.00265
"36",36,140.022427579683,151.888167530833,0,1.66743424612962,0,0.00265
"37",37,140.171296278079,151.411103792356,0,1.68370823466379,0,0.00265
"38",38,140.328943496859,150.485761539817,0,1.70100937799836,0,0.00265
"39",39,140.495456447698,149.423727929078,0,1.71935863511453,0,0.00265
"40",40,140.670908257035,148.520371795316,0,1.73877612852771,0,0.00265
"41",41,140.85535856657,147.973824055807,0,1.75928118349087,0,0.00265
"42",42,141.048854140601,147.836366198932,0,1.78089236427835,0,0.00265
"43",43,141.251429475369,148.127859164316,0,1.80362750736545,0,0.00265
"44",44,141.463107406224,148.86815202839,0,1.82750375140798,0,0.00265
"45",45,141.683899709116,150.077082607905,0,1.85253756399844,0,0.00265
"46",46,141.913807693435,151.774478055762,0,1.87874476523918,0,0.00265
"47",47,142.152822783736,153.980155446533,0,1.90614054822154,0,0.00265
"48",48,142.400927088312,156.713922349495,0,1.93473949654294,0,0.00265
"49",49,142.658093952969,159.995577387396,0,1.96455559902382,0,0.00265
"50",50,142.924288498694,161.241220864485,0,1.99560226181195,0,0.00265
"51",51,143.199468142186,157.783492853598,0,2.02789231807881,0,0.00265
"52",52,143.483583098507,154.675166500919,0,2.06143803552392,0,0.00265
